LATITUDE,LONGITUDE,FIRE_SIZE,NWCG_GENERAL_CAUSE,NWCG_CAUSE_CLASSIFICATION,FIRE_YEAR,DISCOVERY_DOY,cause_binary,t_param,s_param,fire_size_log
39.22083333,-120.16527778,0.1,Recreation and ceremony,Human,2007,156,1,0.2283801248836567,0.22057192198671788,0.09531017980432487
39.0025,-120.1625,0.5,Recreation and ceremony,Human,2007,167,1,0.020415221066222847,0.025171705205011465,0.4054651081081644
39.2975,-119.86416667,0.25,Natural,Natural,2007,242,0,0.44982782044093306,0.4621672019562162,0.22314355131420976
39.235,-120.19527778,0.1,Natural,Natural,2007,240,0,0.21910993773464182,0.20712139500835705,0.09531017980432487
39.30222222,-120.21555556,0.1,Natural,Natural,2007,240,0,0.2287939402205878,0.22083810076654162,0.09531017980432487
38.85916667,-120.01277778,0.1,Recreation and ceremony,Human,2007,165,1,0.8660271592543111,0.845092340639069,0.09531017980432487
39.02555556,-119.90444444,0.25,Natural,Natural,2007,152,0,0.7612922599158213,0.698905371867865,0.22314355131420976
38.86222222,-120.05194444,3100.0,Recreation and ceremony,Human,2007,175,1,0.8675990122700185,0.8493121805642171,8.03947991910045
39.10277778,-120.205,0.1,Recreation and ceremony,Human,2007,177,1,0.12107250640551848,0.13098531207176095,0.09531017980432487
38.85972222,-120.10833333,0.1,Natural,Natural,2007,192,0,0.9261870961291466,0.9343014374513865,0.09531017980432487
38.95138889,-119.94111111,0.1,Recreation and ceremony,Human,2007,245,1,0.8501095503065312,0.779534707438177,0.09531017980432487
38.99138889,-119.87361111,0.25,Natural,Natural,2007,302,0,0.7935234979580628,0.7213841492833905,0.22314355131420976
38.95777778,-119.93472222,0.1,Recreation and ceremony,Human,2007,212,1,0.8478142216080138,0.776287621058818,0.09531017980432487
38.96222222,-120.08027778,0.1,Recreation and ceremony,Human,2007,221,1,0.911808535611967,0.9108941771040938,0.09531017980432487
38.85722222,-120.00888889,0.1,Recreation and ceremony,Human,2007,268,1,0.8656253936570087,0.8425278304307633,0.09531017980432487
39.14416667,-120.15722222,20.2,Other causes,Human,2007,230,1,0.18661170190906418,0.17599691071295498,3.054001181677967
39.04805556,-120.16277778,0.1,Recreation and ceremony,Human,2007,174,1,0.10854501829577695,0.10881323713840688,0.09531017980432487
38.93111111,-119.97638889,0.25,Smoking,Human,2007,174,1,0.8622827454366518,0.8059442204408346,0.22314355131420976
39.25777778,-120.03833333,0.25,Recreation and ceremony,Human,2007,178,1,0.340057286972126,0.33953029531929846,0.22314355131420976
38.95222222,-119.93861111,0.25,Smoking,Human,2007,211,1,0.8494757512466463,0.7785965189003188,0.22314355131420976
39.24944444,-120.00666667,0.1,Recreation and ceremony,Human,2007,217,1,0.40946500003979686,0.40338062242559525,0.09531017980432487
38.90805556,-119.99166667,0.1,Equipment and vehicle use,Human,2007,217,1,0.863685526714044,0.821652503533098,0.09531017980432487
39.08833333,-120.22916667,0.1,Natural,Natural,2007,306,0,0.12051659803384705,0.13038674337270398,0.09531017980432487
39.24972222,-120.00583333,0.1,Recreation and ceremony,Human,2007,223,1,0.4097712033305509,0.4037159273340849,0.09531017980432487
39.12888889,-119.945,0.1,Recreation and ceremony,Human,2007,181,1,0.6021225380559153,0.5791121653229778,0.09531017980432487
38.9375,-120.1125,0.1,Recreation and ceremony,Human,2007,227,1,0.9272445274994544,0.9345876281684021,0.09531017980432487
38.88388889,-120.03444444,0.1,Power generation/transmission/distribution,Human,2007,245,1,0.8673342118340248,0.8490250835940892,0.09531017980432487
38.86777778,-119.99222222,0.1,Arson/incendiarism,Human,2007,230,1,0.864179850965157,0.8277089216131255,0.09531017980432487
38.88277778,-120.12555556,0.1,Recreation and ceremony,Human,2007,248,1,0.9268855887186108,0.9345118503892642,0.09531017980432487
39.09861111,-120.21166667,0.1,Recreation and ceremony,Human,2007,224,1,0.12088499212194313,0.13080804037682817,0.09531017980432487
38.95916667,-120.09694444,0.1,Recreation and ceremony,Human,2007,203,1,0.9397988447721444,0.9484709955067235,0.09531017980432487
39.22805556,-120.00638889,0.2,Debris and open burning,Human,2007,286,1,0.3762718841411538,0.38397949889191757,0.18232155679395465
39.24277778,-120.01138889,0.1,Recreation and ceremony,Human,2007,245,1,0.35043189570800165,0.3571428759513997,0.09531017980432487
38.87527778,-119.99388889,0.25,Misuse of fire by a minor,Human,2007,257,1,0.8642058818038535,0.8280228964276137,0.22314355131420976
39.24972222,-120.00583333,0.1,Recreation and ceremony,Human,2007,251,1,0.4097712033305509,0.4037159273340849,0.09531017980432487
39.05416667,-120.13083333,0.1,Recreation and ceremony,Human,2007,224,1,0.09404004527598973,0.08390774648033404,0.09531017980432487
39.18083333,-120.14972222,0.1,Recreation and ceremony,Human,2007,187,1,0.21908031918311863,0.20709145031174747,0.09531017980432487
38.89305556,-120.11666667,0.1,Recreation and ceremony,Human,2007,256,1,0.926724433655741,0.9344718750808743,0.09531017980432487
38.92388889,-120.03194444,0.1,Recreation and ceremony,Human,2007,311,1,0.8674391929699536,0.8491478830712547,0.09531017980432487
38.87083333,-119.95472222,0.1,Natural,Natural,2007,302,0,0.8610636753527513,0.7982857970738936,0.09531017980432487
38.92777778,-120.16694444,0.1,Natural,Natural,2007,248,0,0.9336931243436543,0.9386070756662456,0.09531017980432487
