LATITUDE,LONGITUDE,FIRE_SIZE,NWCG_GENERAL_CAUSE,NWCG_CAUSE_CLASSIFICATION,FIRE_YEAR,DISCOVERY_DOY,cause_binary,fire_size_log,t_param,s_param,dist_to_lake_km,cluster_basin_opt,cluster_basin_std,cluster_basin_eq,cluster_near_std,cluster_near_eq,cluster_near_opt
38.85833333,-120.05166667,0.1,Debris and open burning,Human,1996,262,1,0.09531017980432487,0.8675801907911916,0.8492941745901009,8.837595692111679,3,3,3,,,
39.25166667,-120.03833333,0.1,Misuse of fire by a minor,Human,1996,284,1,0.09531017980432487,0.3400749269442981,0.33953355250566924,1.4944561400165088,1,1,1,1.0,1.0,1.0
39.14833333,-120.16166667,0.1,Recreation and ceremony,Human,1996,289,1,0.09531017980432487,0.18723991553291908,0.17653699795434022,1.1081161198434384,2,2,2,2.0,2.0,2.0
38.94666667,-119.94333333,0.1,Recreation and ceremony,Human,1996,301,1,0.09531017980432487,0.8518189087587922,0.7824572337414153,1.3206997560552103,0,0,0,0.0,0.0,0.0
38.93166667,-120.08833333,0.1,Power generation/transmission/distribution,Human,1996,323,1,0.09531017980432487,0.9195075416857031,0.9267840044213602,2.1252546857540078,3,3,3,3.0,3.0,3.0
39.13333333,-120.21666667,0.1,Natural,Natural,1996,194,0,0.09531017980432487,0.16459180513940933,0.15811201493861013,4.893779808609771,2,2,2,2.0,2.0,2.0
39.27,-120.01666667,0.1,Smoking,Human,1996,198,1,0.09531017980432487,0.4155177861815364,0.4072920880219336,3.0857710631665896,1,1,1,1.0,1.0,1.0
39.26666667,-120.03833333,0.1,Smoking,Human,1996,199,1,0.09531017980432487,0.3400444725059834,0.33952786499844334,3.1582746986644823,1,1,1,1.0,1.0,1.0
39.22333333,-120.05666667,0.1,Misuse of fire by a minor,Human,1996,202,1,0.09531017980432487,0.299489631232713,0.3070224073875255,1.1500541841742802,1,1,1,1.0,1.0,1.0
38.91666667,-119.95833333,0.2,Misuse of fire by a minor,Human,1997,125,1,0.18232155679395465,0.8601894312117208,0.7963117852404178,3.430368040323653,0,0,0,0.0,0.0,0.0
38.91666667,-120.03333333,0.2,Misuse of fire by a minor,Human,1997,126,1,0.18232155679395465,0.8674549509030874,0.8491649970474795,2.1780790579312503,3,3,3,3.0,3.0,3.0
39.07666667,-119.90666667,0.1,Natural,Natural,1997,132,0,0.09531017980432487,0.6777757778930934,0.6341069774441183,3.1413548975409054,0,0,0,0.0,0.0,0.0
39.28,-119.945,0.1,Natural,Natural,1997,139,0,0.09531017980432487,0.4426429072147903,0.4411735925352968,4.303532353449619,1,1,1,1.0,1.0,1.0
39.01833333,-120.125,0.1,Natural,Natural,1997,160,0,0.09531017980432487,0.02101197398139865,0.02567351244259337,0.5642951433284525,2,2,2,3.0,3.0,3.0
38.88666667,-120.015,2.0,Recreation and ceremony,Human,1997,173,1,1.0986122886681098,0.8657618879865697,0.8434904024347345,5.627276115891887,3,3,3,,,
39.20833333,-120.09333333,0.1,Smoking,Human,1997,177,1,0.09531017980432487,0.2773581402392354,0.27262342034515713,0.18273596301707357,1,2,1,2.0,2.0,2.0
39.23666667,-120.05666667,0.1,Smoking,Human,1997,184,1,0.09531017980432487,0.3203794823715526,0.3235166750516155,0.2754141206219992,1,1,1,1.0,1.0,1.0
