LATITUDE,LONGITUDE,Cluster_Std,Cluster_OA,Cause,Specific_Cause,Fire_Size_Acres,Fire_Year
35.8011,-114.5353,4,4,Human-Caused,Equipment and vehicle use,0.1,2015
35.82797,-114.55972,4,4,Human-Caused,Equipment and vehicle use,0.1,2015
35.80869,-114.71336,4,4,Human-Caused,Debris and open burning,0.1,2015
36.0342,-114.7975,4,4,Natural,Lightning,0.1,2015
35.9611,-114.7072,4,4,Human-Caused,Firearms and explosives use,0.1,2015
36.3222,-114.9467,2,2,Human-Caused,Recreation and ceremony,0.1,2015
36.5558,-114.9303,2,2,Human-Caused,Equipment and vehicle use,0.3,2015
36.2917,-114.9661,2,2,Human-Caused,Recreation and ceremony,0.1,2015
36.356733,-113.787188,3,3,Natural,Lightning,21.0,2016
36.32097,-113.74483,3,3,Natural,Lightning,0.1,2016
36.44449,-113.748586,3,3,Natural,Lightning,0.1,2016
35.8617,-114.0847,1,1,Natural,Lightning,0.1,2017
35.8894,-113.8969,1,1,Natural,Lightning,78.0,2016
35.8219,-113.85,1,1,Natural,Lightning,0.5,2017
36.0278,-113.8036,1,1,Natural,Lightning,0.1,2017
36.37458,-114.44261,2,2,Human-Caused,Smoking,0.1,2016
36.0147,-114.7472,4,4,Human-Caused,Recreation and ceremony,0.1,2016
35.97906,-114.69472,4,4,Natural,Lightning,0.1,2016
36.12258,-114.90404,4,4,Natural,Lightning,0.1,2016
36.11333,-114.66777,4,4,Human-Caused,Arson/incendiarism,0.1,2016
36.01169,-114.79468,4,4,Natural,Lightning,0.1,2016
36.5303,-114.418,2,2,Natural,Lightning,1.0,2016
35.8686,-114.6614,4,4,Human-Caused,Recreation and ceremony,0.1,2016
35.87269,-114.65382,4,4,Human-Caused,Equipment and vehicle use,0.1,2017
36.14131,-114.72892,4,4,Human-Caused,Smoking,1.0,2017
35.94089,-114.64175,4,4,Human-Caused,Equipment and vehicle use,0.1,2017
35.95322,-114.85019,4,4,Human-Caused,Fireworks,0.1,2017
35.87383,-114.66147,4,4,Human-Caused,Arson/incendiarism,0.1,2017
35.90811,-114.62781,4,4,Human-Caused,Equipment and vehicle use,0.1,2017
35.953681,-114.668008,4,4,Human-Caused,Equipment and vehicle use,0.1,2017
36.4803,-114.8058,2,2,Human-Caused,Equipment and vehicle use,0.1,2016
36.47322,-114.82208,2,2,Human-Caused,Equipment and vehicle use,0.3,2016
36.475,-114.835,2,2,Human-Caused,Firearms and explosives use,2.5,2017
36.5064,-114.7547,2,2,Human-Caused,Equipment and vehicle use,0.3,2017
36.485,-114.7997,2,2,Human-Caused,Equipment and vehicle use,3.4,2017
35.8522,-114.6358,4,4,Natural,Lightning,0.1,2017
36.4517,-114.9403,2,2,Human-Caused,Firearms and explosives use,0.1,2017
36.4653,-114.8858,2,2,Human-Caused,Debris and open burning,0.1,2017
36.1681,-113.8061,1,1,Natural,Lightning,0.3,2018
35.8506,-114.0853,1,1,Human-Caused,Equipment and vehicle use,0.1,2018
35.8358,-114.5664,4,4,Human-Caused,Equipment and vehicle use,0.1,2018
36.095069,-113.9003,1,1,Natural,Lightning,165.0,2018
36.08592,-114.08683,1,1,Human-Caused,Equipment and vehicle use,0.4,2018
36.0314,-114.32324,1,1,Human-Caused,Recreation and ceremony,0.1,2018
36.12798,-114.87159,4,4,Human-Caused,Recreation and ceremony,0.1,2018
36.2097,-114.5698,4,2,Human-Caused,Fireworks,0.6,2018
36.112095,-114.86149,4,4,Human-Caused,Smoking,0.1,2018
35.94691,-114.64699,4,4,Human-Caused,Equipment and vehicle use,0.1,2018
35.952128,-114.65116,4,4,Human-Caused,Smoking,0.1,2018
35.98908,-114.715388,4,4,Human-Caused,Smoking,0.1,2018
36.2125,-114.9597,4,4,Human-Caused,Recreation and ceremony,0.3,2018
36.1039,-114.9992,4,4,Human-Caused,Debris and open burning,0.1,2018
36.185,-114.9219,4,4,Human-Caused,Debris and open burning,0.1,2018
36.1039,-114.9989,4,4,Human-Caused,Recreation and ceremony,0.1,2018
36.1156,-114.9936,4,4,Human-Caused,Debris and open burning,0.1,2018
36.524381,-113.904097,3,3,Human-Caused,Recreation and ceremony,0.1,2019
35.9339,-114.0861,1,1,Human-Caused,Equipment and vehicle use,0.3,2019
35.8747,-114.0664,1,1,Natural,Lightning,0.1,2019
35.84353,-113.86681,1,1,Natural,Lightning,0.1,2019
35.954595,-114.653805,4,4,Human-Caused,Equipment and vehicle use,0.3,2019
35.861095,-114.64899,4,4,Human-Caused,Equipment and vehicle use,0.1,2019
35.9244,-114.6325,4,4,Human-Caused,Equipment and vehicle use,0.1,2019
35.85263,-114.59199,4,4,Human-Caused,Equipment and vehicle use,0.1,2019
36.07249,-114.06029,1,1,Human-Caused,Equipment and vehicle use,0.1,2019
36.1097,-114.8883,4,4,Human-Caused,Equipment and vehicle use,0.1,2019
